"","Gene","SLE001h","SLE002h","SLE004h","SLE005h","SLE006h","SLE007h","SLE008h","SLE010h","SLE011h","SLE012h","SLE013h","SLE014h","SLE015h","SLE016h"
"16982","AL450063.1",2,1,0,2,0,1,0,1,0,0,0,1,0,0
"16983","AL450124.1",0,0,0,1,0,0,0,0,1,0,0,1,0,0
"16984","AL450226.1",1,0,0,0,0,0,0,0,0,0,0,0,2,0
"16985","AL450226.2",0,0,21,0,0,0,3,0,0,0,0,0,0,0
"16986","AL450263.1",0,1,2,1,1,3,0,1,0,4,0,0,3,3
"16987","AL450263.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16988","AL450267.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16989","AL450270.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16990","AL450304.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16991","AL450306.1",0,1,1,1,1,1,0,2,0,0,1,1,0,0
"16992","AL450309.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16993","AL450311.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16994","AL450311.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16995","AL450313.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16996","AL450322.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16997","AL450322.2",0,0,0,1,0,0,0,0,0,0,2,1,0,0
"16998","AL450326.1",0,3,7,6,5,3,2,7,1,3,2,10,6,0
"16999","AL450326.2",1,1,4,0,1,1,0,2,1,1,1,3,0,0
"17000","AL450327.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17001","AL450332.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17002","AL450336.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17003","AL450338.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17004","AL450344.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17005","AL450344.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17006","AL450344.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"17007","AL450345.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17008","AL450346.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17009","AL450346.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17010","AL450384.1",0,0,1,0,0,0,0,1,0,0,0,0,0,0
"17011","AL450384.2",2,15,19,2,6,8,2,21,9,18,17,18,9,0
"17012","AL450405.1",33,3,9,117,3,40,101,15,11,7,9,6,2,6
"17013","AL450423.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17014","AL450426.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17015","AL450442.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17016","AL450468.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17017","AL450468.2",2,3,5,1,2,1,0,2,0,4,2,6,3,0
"17018","AL450469.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17019","AL450469.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17020","AL450471.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17021","AL450472.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17022","AL450472.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17023","AL450472.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17024","AL450487.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17025","AL450487.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17026","AL450990.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17027","AL450992.1",0,0,0,0,0,1,0,1,0,0,1,1,1,0
"17028","AL450992.2",1,3,19,13,12,15,7,15,7,10,21,20,18,1
"17029","AL450992.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17030","AL450996.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17031","AL450998.1",2,4,5,4,3,1,1,4,7,7,7,9,3,3
"17032","AL450998.2",1,7,3,1,9,4,2,12,4,6,2,7,8,0
"17033","AL451000.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17034","AL451007.1",0,1,0,0,0,0,0,0,0,0,0,1,0,1
"17035","AL451007.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"17036","AL451007.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17037","AL451042.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17038","AL451042.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17039","AL451044.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17040","AL451046.1",0,0,0,0,0,0,0,2,0,0,0,0,1,0
"17041","AL451046.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17042","AL451047.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17043","AL451048.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17044","AL451049.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17045","AL451050.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17046","AL451050.2",1,2,1,2,1,0,0,2,1,1,1,1,0,0
"17047","AL451054.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17048","AL451054.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17049","AL451054.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17050","AL451060.1",2,1,0,0,0,0,0,0,0,0,0,0,0,0
"17051","AL451061.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17052","AL451062.1",0,0,0,0,1,1,1,0,0,1,1,0,2,0
"17053","AL451062.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17054","AL451063.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17055","AL451064.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"17056","AL451064.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17057","AL451065.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17058","AL451067.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17059","AL451069.1",0,0,1,0,0,0,0,0,0,1,1,0,1,0
"17060","AL451069.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17061","AL451069.3",1,0,0,0,0,0,0,1,0,0,1,0,0,0
"17062","AL451070.1",0,0,0,0,0,0,0,0,0,0,1,1,0,2
"17063","AL451074.1",0,0,0,0,0,0,0,0,0,1,0,2,0,0
"17064","AL451074.2",0,1,0,1,1,1,1,1,1,4,0,2,0,0
"17065","AL451074.3",0,0,0,0,0,1,1,0,1,0,2,0,0,1
"17066","AL451074.4",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"17067","AL451074.5",0,2,2,0,0,0,0,0,1,1,1,0,0,0
"17068","AL451074.6",0,0,1,0,1,0,0,0,1,2,0,2,0,0
"17069","AL451081.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17070","AL451081.2",1,0,1,1,0,0,0,0,0,0,2,0,1,0
"17071","AL451085.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17072","AL451085.2",1,1,2,2,0,2,4,0,1,2,0,0,0,0
"17073","AL451086.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17074","AL451105.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17075","AL451105.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17076","AL451107.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17077","AL451124.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17078","AL451127.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17079","AL451129.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17080","AL451137.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17081","AL451139.1",0,0,0,0,0,1,0,0,0,1,1,0,0,0
"17082","AL451140.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17083","AL451142.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17084","AL451142.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17085","AL451164.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17086","AL451164.2",0,2,1,1,1,0,0,1,0,0,0,0,0,2
"17087","AL451164.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17088","AL451165.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17089","AL451165.2",16,18,12,6,9,8,8,19,17,12,18,27,19,7
"17090","AL499605.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17091","AL499616.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17092","AL499627.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17093","AL499627.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17094","AL500522.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17095","AL500522.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17096","AL500527.1",0,1,0,1,1,0,0,1,0,0,0,0,1,1
"17097","AL500527.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17098","AL512271.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17099","AL512274.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17100","AL512283.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17101","AL512286.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17102","AL512288.1",0,0,0,0,1,1,0,0,3,0,0,0,1,0
"17103","AL512288.2",0,0,0,0,1,1,0,4,2,0,0,3,0,0
"17104","AL512303.1",2,3,1,0,2,0,0,2,0,5,1,5,0,1
"17105","AL512306.1",0,0,0,0,0,0,0,0,0,2,2,0,0,0
"17106","AL512306.2",9,21,25,8,10,14,14,41,13,29,16,48,11,3
"17107","AL512306.3",1,4,5,3,3,2,1,12,2,11,9,7,1,1
"17108","AL512310.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17109","AL512310.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17110","AL512310.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17111","AL512310.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17112","AL512310.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17113","AL512310.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17114","AL512310.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17115","AL512310.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17116","AL512310.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17117","AL512310.7",0,0,0,0,0,1,0,1,0,0,0,0,0,0
"17118","AL512310.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17119","AL512324.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17120","AL512324.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17121","AL512326.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17122","AL512326.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17123","AL512326.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17124","AL512328.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17125","AL512329.1",0,0,0,1,2,0,0,0,0,2,0,3,0,0
"17126","AL512329.2",0,0,1,0,1,0,0,1,1,2,2,4,1,0
"17127","AL512330.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17128","AL512343.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17129","AL512343.2",2,1,3,1,3,2,0,6,3,2,1,5,2,0
"17130","AL512347.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17131","AL512353.1",0,0,3,2,1,1,0,3,1,5,2,2,0,0
"17132","AL512353.2",0,0,0,0,0,0,0,1,0,1,0,0,0,0
"17133","AL512353.3",0,1,0,1,0,0,0,0,0,0,1,0,1,0
"17134","AL512356.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17135","AL512356.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17136","AL512356.3",1,0,0,2,0,1,0,0,1,0,0,0,0,0
"17137","AL512357.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17138","AL512360.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17139","AL512361.1",0,0,0,0,0,1,0,0,0,0,0,1,0,0
"17140","AL512363.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17141","AL512366.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17142","AL512378.1",0,2,3,1,0,0,4,6,1,1,1,4,1,1
"17143","AL512380.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"17144","AL512380.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17145","AL512383.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17146","AL512408.1",3,1,0,0,3,1,0,4,1,4,2,2,0,1
"17147","AL512413.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"17148","AL512422.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17149","AL512427.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17150","AL512428.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17151","AL512430.1",0,0,0,0,1,0,0,0,0,0,0,0,1,0
"17152","AL512430.2",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"17153","AL512430.3",0,0,0,3,0,3,0,0,0,1,0,1,0,0
"17154","AL512430.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17155","AL512444.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17156","AL512504.1",0,0,0,0,0,1,0,0,0,0,2,1,1,0
"17157","AL512504.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17158","AL512506.1",0,0,0,0,1,0,0,0,0,1,0,0,0,0
"17159","AL512506.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17160","AL512506.3",0,0,0,0,0,0,0,0,0,0,1,0,1,0
"17161","AL512590.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17162","AL512590.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17163","AL512590.3",0,0,1,0,0,0,1,0,0,1,0,0,1,0
"17164","AL512593.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17165","AL512594.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17166","AL512598.1",0,1,3,0,0,0,0,0,0,0,0,2,1,0
"17167","AL512599.1",0,0,0,1,1,1,0,1,0,0,0,0,1,0
"17168","AL512604.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"17169","AL512604.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17170","AL512604.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17171","AL512605.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17172","AL512605.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17173","AL512622.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17174","AL512624.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17175","AL512624.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17176","AL512625.1",3,0,1,1,2,1,0,5,1,2,2,1,1,1
"17177","AL512625.2",0,0,0,1,1,0,0,3,0,2,2,0,0,0
"17178","AL512625.3",1,8,0,0,7,0,0,14,5,4,0,0,0,5
"17179","AL512631.1",0,0,1,0,0,0,0,3,0,6,3,1,0,0
"17180","AL512631.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17181","AL512633.1",1,0,0,3,0,3,2,3,0,0,0,0,1,0
"17182","AL512634.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17183","AL512635.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"17184","AL512637.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17185","AL512637.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17186","AL512638.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17187","AL512638.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17188","AL512638.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17189","AL512641.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17190","AL512643.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17191","AL512646.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17192","AL512649.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17193","AL512649.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17194","AL512652.1",0,1,1,1,0,0,1,0,0,0,0,5,0,0
"17195","AL512652.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17196","AL512656.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"17197","AL512658.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17198","AL512661.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17199","AL512662.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17200","AL512662.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17201","AL512770.1",9,9,13,6,5,3,3,14,9,18,9,9,3,5
"17202","AL512782.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"17203","AL512785.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17204","AL512785.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17205","AL512791.1",5,11,12,6,3,7,4,22,1,12,13,11,6,3
"17206","AL512791.2",1,4,4,4,4,2,4,1,0,8,2,3,1,1
"17207","AL512844.1",0,0,0,0,0,0,0,0,0,0,1,1,1,1
"17208","AL512844.2",0,0,0,1,0,1,2,0,1,0,0,1,0,1
"17209","AL512882.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17210","AL513008.1",0,1,0,1,0,0,0,0,0,0,1,0,0,1
"17211","AL513043.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17212","AL513122.1",0,1,2,0,0,0,0,2,0,0,1,0,0,0
"17213","AL513122.2",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"17214","AL513123.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17215","AL513124.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17216","AL513128.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17217","AL513164.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17218","AL513165.1",0,3,6,3,5,6,2,4,2,4,2,3,0,1
"17219","AL513165.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17220","AL513174.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17221","AL513175.1",0,0,0,1,0,1,1,1,0,1,0,1,0,0
"17222","AL513175.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17223","AL513185.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17224","AL513185.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17225","AL513185.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17226","AL513188.1",0,0,0,0,0,0,0,1,0,1,0,0,0,0
"17227","AL513190.1",1,1,3,0,5,0,2,2,4,6,1,1,2,0
"17228","AL513210.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17229","AL513211.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17230","AL513217.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17231","AL513218.1",0,0,1,3,3,0,0,1,0,0,1,1,0,0
"17232","AL513220.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17233","AL513283.1",0,1,0,0,0,0,0,0,0,0,0,1,0,0
"17234","AL513285.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17235","AL513302.1",0,0,0,1,0,0,0,1,0,0,0,0,0,0
"17236","AL513302.2",15,19,16,12,20,15,16,37,7,37,36,36,13,7
"17237","AL513303.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17238","AL513303.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17239","AL513304.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17240","AL513314.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17241","AL513314.2",0,2,4,1,1,2,0,3,4,4,3,1,0,1
"17242","AL513315.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17243","AL513318.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17244","AL513318.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"17245","AL513320.1",0,6,8,3,1,3,4,3,3,2,2,11,4,1
"17246","AL513321.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17247","AL513321.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"17248","AL513323.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17249","AL513324.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17250","AL513325.1",0,0,0,0,0,0,0,0,1,1,1,0,0,0
"17251","AL513327.1",37,148,55,38,36,55,18,73,72,61,166,81,61,45
"17252","AL513327.2",0,1,0,0,0,0,0,0,0,1,0,0,0,0
"17253","AL513327.3",0,1,1,0,1,0,0,4,0,0,1,1,2,0
"17254","AL513328.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17255","AL513329.1",3,1,2,0,3,0,1,3,5,5,2,5,2,0
"17256","AL513331.1",0,0,0,0,0,0,0,0,1,1,0,0,0,0
"17257","AL513343.1",0,0,1,0,0,0,0,0,0,0,1,0,1,0
"17258","AL513348.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17259","AL513365.1",0,1,2,2,4,4,0,2,2,3,1,4,2,1
"17260","AL513365.2",1,3,6,2,3,2,4,2,0,8,4,2,1,1
"17261","AL513366.1",0,0,1,0,1,0,0,0,0,1,0,0,1,0
"17262","AL513412.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17263","AL513422.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17264","AL513423.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17265","AL513475.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"17266","AL513475.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17267","AL513477.1",1,4,4,7,4,11,1,7,5,8,6,14,4,0
"17268","AL513477.2",0,1,1,0,0,0,0,2,2,3,1,2,3,0
"17269","AL513478.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17270","AL513478.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17271","AL513478.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17272","AL513478.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17273","AL513479.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17274","AL513480.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17275","AL513485.1",0,0,0,0,1,0,2,0,0,0,0,0,0,0
"17276","AL513497.1",1,0,1,1,0,2,2,6,3,2,0,0,2,0
"17277","AL513523.1",0,1,4,1,1,0,1,0,0,1,1,1,0,0
"17278","AL513523.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17279","AL513523.2",0,1,1,0,0,0,2,1,1,3,1,1,1,0
"17280","AL513523.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17281","AL513523.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17282","AL513533.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"17283","AL513534.1",0,2,4,4,1,1,3,2,1,2,0,3,0,0
"17284","AL513534.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17285","AL513542.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17286","AL513548.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17287","AL513548.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17288","AL513548.3",0,0,0,1,1,0,0,1,0,0,0,1,1,0
"17289","AL513550.1",1,5,25,16,11,15,4,27,10,17,21,34,19,5
"17290","AL583722.1",3,5,0,5,2,3,0,20,12,9,0,10,4,1
"17291","AL583722.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17292","AL583722.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17293","AL583722.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17294","AL583785.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17295","AL583803.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17296","AL583804.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17297","AL583805.1",1,2,2,3,6,4,3,2,11,13,6,10,3,8
"17298","AL583805.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17299","AL583808.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17300","AL583808.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17301","AL583810.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"17302","AL583810.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"17303","AL583810.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17304","AL583824.1",1,0,2,0,0,0,0,1,0,0,0,0,1,0
"17305","AL583832.1",0,2,4,1,2,0,0,8,1,3,2,1,0,0
"17306","AL583834.1",0,1,3,1,2,3,0,4,0,4,3,1,1,1
"17307","AL583835.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17308","AL583835.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"17309","AL583836.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17310","AL583839.1",3,7,12,1,4,3,4,18,6,10,1,11,6,2
"17311","AL583839.2",0,0,0,0,0,0,0,2,0,0,0,0,1,0
"17312","AL583843.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17313","AL583844.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17314","AL583852.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17315","AL583854.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17316","AL583856.1",0,0,0,1,1,2,1,0,0,1,0,0,0,1
"17317","AL583856.2",1,0,4,0,0,1,0,0,1,2,1,4,3,1
"17318","AL583859.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17319","AL583859.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17320","AL583859.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17321","AL589182.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17322","AL589182.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17323","AL589642.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17324","AL589642.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17325","AL589647.1",0,0,0,0,0,0,0,0,9,7,2,2,3,8
"17326","AL589655.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17327","AL589666.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17328","AL589666.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"17329","AL589669.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17330","AL589674.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"17331","AL589678.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17332","AL589684.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17333","AL589702.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17334","AL589739.1",0,1,0,0,1,0,0,0,0,1,0,0,0,0
"17335","AL589740.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"17336","AL589743.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17337","AL589743.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
