,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL390038.1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL390318.1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL390726.3,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL390961.2,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL391069.4,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL391094.1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL391335.1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL391427.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL391647.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL392103.1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL445584.2,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL445685.2,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL450344.3,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL451007.2,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL451064.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL512343.1,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL512635.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL512782.1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL589674.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL590002.1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL590434.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL590652.1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL590714.1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL590762.2,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL591034.2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL591212.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL591441.1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL591643.1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL591684.2,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL591719.1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL591767.3,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL591848.1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL591848.2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL591926.3,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL592546.1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL596223.2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL607028.1,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL645608.1,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL663058.1,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL663074.1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL669831.6,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL669970.3,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL772337.3,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL807761.2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL807761.3,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL928596.1,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL928970.1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AL929472.4,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ALOX15P2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AMD1P2,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ANKRD18B,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ANKRD30BP3,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ANKRD62P1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ANKRD63,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ANKRD66,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ANXA13,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP000266.1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP000523.1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP000654.2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP000679.1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP000688.3,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP000769.3,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP000851.2,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP000870.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP000924.1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP000943.1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP001057.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP001062.2,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP001269.3,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP001284.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP001831.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP001931.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP001995.2,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP002001.2,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP002383.3,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP002414.1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP002414.2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP002518.2,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP002784.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP003059.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP003097.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP003385.6,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP003390.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP003472.1,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP003472.2,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP005212.2,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP005230.1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AP005265.1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
APLNR,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
APOA4,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
APOC3,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ARF1P2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ARHGEF38-IT1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ARL2BPP2,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ARMCX7P,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ARNT2,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ASH2LP3,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ATP2A1-AS1,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
AVP,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
B3GALNT2P1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
B4GALNT1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
B4GALT4-AS1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BBIP1P1,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BCAR4,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BCRP5,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BGLT3,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BGN,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BHMG1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BHMT2,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BMP7,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BMPR1APS2,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BPIFC,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BUD13P1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BX005019.1,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BX005040.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BX005040.4,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BX005266.2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BX119321.1,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BX323845.3,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
BX546450.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
C12orf50,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
C12orf56,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
C15orf59,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
C1GALT1C1L,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
C22orf31,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
C2orf27B,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
C2orf71,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
C2orf72,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
C3orf85,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
C5orf64,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
C8B,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CA5AP1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CACNA1B,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CADM3-AS1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CAGE1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CALB2,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CALM2P1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CALML3-AS1,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CAMK2N2,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CAMKV,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CASQ2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CBARP,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CCBE1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CCDC140,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CCDC144NL,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CCDC179,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CCDC33,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CCDC58P3,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CCDC74BP1,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CCL26,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CDCA4P2,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CEACAMP5,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CFAP52,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CFAP61,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CHCHD3P3,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CHMP1B2P,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CHST1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CICP20,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CICP5,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CIDEC,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CISD1P1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CKS1BP2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CLCA2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CLCN3P1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CLPSL2,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CLRN3,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CLSTN2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CMA1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CNN2P10,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
COL3A1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
COMP,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
COX20P2,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CPA2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CPNE6,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CR391992.1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CRP,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CSN2,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CSNK2A3,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CSPG4P12,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CTHRC1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CU633967.1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CYCSP25,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CYP26B1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CYP4F8,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
CYP51A1P2,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DDI1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DDR1-AS1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DDX11L8,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DDX18P4,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DDX39BP1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DDX6P1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DEFA1,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DEFA5,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DEFA9P,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DEFB122,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DEFB124,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DEFB136,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DIRAS3,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DKFZP434A062,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DLG3-AS1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DMP1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DMRT1,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DMRTA1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DMRTC1B,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DPPA2P2,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DSCAS,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DUSP5P1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DUTP7,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
DUX4L37,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
EBF3,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
EEF1A1P42,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
EIF1AX-AS1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
EIF4A1P9,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
EIF4E2P1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
EIF4E2P2,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ELL3,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
EMILIN3,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
EPHA8,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ERBB4,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ERICH2,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
EXTL1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
EYA1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAIM2,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAM136BP,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAM163A,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAM180B,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAM183A,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAM226B,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAM236A,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAM35DP,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAM58DP,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAM71E1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAM86MP,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FAM91A3P,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FBLL1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FBP2P1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FBXL7,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FEN1P1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FGF20,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FGG,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FLRT3,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FOXP2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FP236241.1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FRMD7,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FRMPD2B,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FTLP19,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FTLP8,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FUT3,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
FXYD1,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
G6PC2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GCKR,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GDF2,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GDI2P1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GGT2,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GGT8P,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GGTLC1,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GHRH,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GJA9,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GKN3P,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GLIS2-AS1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GLP1R,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GLRX3P2,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GLRXP1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GMPSP1,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GNL2P1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GOLGA6L17P,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GPS2P2,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GRIK3,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GRIN2B,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GS1-24F4.2,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
GTF2IP7,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
H3F3AP1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HEPACAM,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HERC2P7,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HIGD1AP1,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HILS1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HIST1H1B,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HIST1H2AB,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HIST2H3A,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGB1P19,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGB1P28,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGB1P30,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGB3P9,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGN1P32,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGN1P4,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGN1P5,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGN2P11,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGN2P13,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGN2P21,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGN2P23,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HMGN2P38,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HNF1B,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HNRNPA1P11,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HNRNPA1P19,0.141934206,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HNRNPA1P23,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HNRNPA1P28,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HNRNPA1P45,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HNRNPA1P63,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HNRNPA1P64,0.152418953,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HOXA10-AS,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HSPE1P1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HSPE1P7,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HTR2A,0.082688166,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HYAL4,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
HYMAI,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
ICE2P2,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
IDI2,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
IFNW1,0.037141401,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
IGHD1-14,0.077784607,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
IGHD3-16,0.077709109,-0.041334406,0.13232679,-0.312366119,0.754762296,0.99722229
