,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AP003068.2,87.91580109,-0.56679487,0.228005396,-2.485883585,0.012923023,0.99722229
ITGAM,2688.202135,-0.566592477,0.282824227,-2.003337845,0.045141038,0.99722229
RAB1C,1.742550374,-0.566579967,0.280902825,-2.016996331,0.043695896,0.99722229
AP002884.3,16.13464501,-0.566527,0.323384354,-1.751868924,0.079796349,0.99722229
AF111167.2,12.22563449,-0.566521399,0.308231266,-1.837975122,0.066066071,0.99722229
PLP2,1048.82955,-0.566175821,0.296010785,-1.912686463,0.055788203,0.99722229
S100A8,30153.20899,-0.566125533,0.324772765,-1.743143496,0.081308552,0.99722229
RPL23AP48,1.70762139,-0.565744209,0.311722322,-1.814897969,0.069539591,0.99722229
PRTN3,52.33178806,-0.565433614,0.237333719,-2.382441132,NA,NA
GFOD2,161.7802193,-0.565236145,0.235271885,-2.402480626,0.016284297,0.99722229
GPR160,171.7756815,-0.565073808,0.298414758,-1.893585331,0.058280072,0.99722229
RPL13AP6,3.121827871,-0.564971158,0.318223993,-1.775388314,0.075833792,0.99722229
HMGN5,11.50644488,-0.564792016,0.275594341,-2.04935999,0.040426927,0.99722229
AP000769.1,15.29911249,-0.564518038,0.305417168,-1.848350707,0.064551625,0.99722229
SEC62,820.6617268,-0.56448567,0.231320175,-2.440278589,0.014675939,0.99722229
ALPL,2916.238752,-0.564394615,0.322972883,-1.74749846,0.080550912,0.99722229
CHPT1,532.1993336,-0.563659732,0.322621537,-1.747123698,0.080615884,0.99722229
HBD,1664.475016,-0.563510548,0.322184322,-1.749031563,0.080285564,0.99722229
FGFR1OP2,549.9438948,-0.563460356,0.211709655,-2.661476896,0.007779868,0.99722229
PLK3,189.0739604,-0.563298967,0.265269367,-2.12349799,0.033712144,0.99722229
RELL1,49.43287513,-0.563271269,0.226558449,-2.486207293,0.012911273,0.99722229
AC100803.3,1.118956118,-0.562876771,0.30713499,-1.832668987,0.066851812,0.99722229
AP001636.2,1.289573019,-0.562329593,0.303774629,-1.851140741,0.064149308,0.99722229
WDR13,299.2701754,-0.562304729,0.267024936,-2.105813548,0.035220552,0.99722229
MPZ,37.5776616,-0.562234959,0.291692956,-1.927488984,0.05391872,0.99722229
AC027612.3,0.905859299,-0.562147007,0.232420481,-2.418663811,0.01557763,0.99722229
LTB4R,655.6713877,-0.561841248,0.291413322,-1.92798752,0.053856678,0.99722229
SMG1P3,7.248058627,-0.561640769,0.314136381,-1.78788833,0.073794026,0.99722229
AC010615.2,8.985623991,-0.561467484,0.324314232,-1.73124528,0.083408026,0.99722229
ZNF467,498.3030887,-0.561448334,0.258015547,-2.176025206,0.029553376,0.99722229
TMEM255B,6.772104286,-0.561343732,0.320582686,-1.751010761,0.079944056,0.99722229
HLA-H,949.2375366,-0.560711966,0.277553697,-2.020192745,0.043363399,0.99722229
RPL13AP3,4.645678313,-0.560709795,0.316844709,-1.769667537,0.076782541,0.99722229
TRIQK,123.2108145,-0.560617005,0.264520884,-2.119367654,0.034059408,0.99722229
RASIP1,1.055969837,-0.559991674,0.25243792,-2.21833421,0.026532053,0.99722229
RPL21P16,8.572058597,-0.559592541,0.324862872,-1.722550002,0.084969933,0.99722229
USP10,652.0436052,-0.559336391,0.223591437,-2.50160023,0.012363344,0.99722229
UBAP1,773.2007018,-0.559224244,0.25044326,-2.23293789,0.02555304,0.99722229
MIR222HG,5.221085733,-0.558775816,0.319097962,-1.751110576,NA,NA
SAPCD2,23.22584913,-0.558675026,0.318177391,-1.755860226,0.079112278,0.99722229
CRISP3,59.47751745,-0.558519136,0.326818278,-1.708959301,0.087458489,0.99722229
ITSN1,53.96947966,-0.55830652,0.26834247,-2.080574572,0.037472863,0.99722229
SNCA,1673.573546,-0.558164424,0.319351247,-1.747807247,0.08049741,0.99722229
ATF4P3,8.986774468,-0.557181808,0.314406987,-1.772167385,0.076366776,0.99722229
DNAJB2,504.3106802,-0.55685221,0.281142787,-1.980674008,0.047627843,0.99722229
KANK2,38.84555251,-0.55670365,0.3262169,-1.706544484,0.087906751,0.99722229
SELENBP1,806.5591489,-0.556476553,0.321738384,-1.7295933,0.083702964,0.99722229
TMEM86B,60.01780219,-0.55623186,0.312692574,-1.778845758,0.075265053,0.99722229
AL357033.3,6.559596237,-0.555752904,0.31009089,-1.792225832,0.073096798,0.99722229
EVPL,3.839904453,-0.555667855,0.324054174,-1.714737533,0.086393359,0.99722229
MAFG,183.4785892,-0.555426734,0.287748098,-1.930253361,NA,NA
FOXO4,653.8272308,-0.555304294,0.267402608,-2.076659976,0.037832953,0.99722229
PTPRF,10.72703895,-0.554851939,0.327495433,-1.694228021,0.090221962,0.99722229
PLXNB3,4.957742062,-0.554834452,0.328136215,-1.690866255,0.09086235,0.99722229
WWC1,4.211597945,-0.554615135,0.324594263,-1.70864121,0.08751743,0.99722229
